timestamp,activeOrders, sells,buys, digest

Sun Nov 30 18:41:06 EST 2014 , 4 , 2 , 2 , 244483 : { BUY 20722.57@0.0026482} 244482 : { BUY 20722.57@0.0026482} 244481 : { SELL 73606.82@0.00265881} 244480 : { SELL 73606.82@0.00265881} 
Sun Nov 30 18:44:07 EST 2014 , 4 , 2 , 2 , 244483 : { BUY 20722.57@0.0026482} 244482 : { BUY 20722.57@0.0026482} 244481 : { SELL 73606.82@0.00265881} 244480 : { SELL 73606.82@0.00265881} 
Sun Nov 30 18:47:08 EST 2014 , 4 , 2 , 2 , 244483 : { BUY 20722.57@0.0026482} 244482 : { BUY 20722.57@0.0026482} 244481 : { SELL 73606.82@0.00265881} 244480 : { SELL 73606.82@0.00265881} 
Sun Nov 30 19:08:15 EST 2014 , 4 , 2 , 2 , 244825 : { SELL 73606.82@0.00265663} 244824 : { SELL 73606.82@0.00265663} 244795 : { BUY 20739.64@0.00264602} 244794 : { BUY 20739.64@0.00264602} 
Sun Nov 30 19:11:16 EST 2014 , 4 , 2 , 2 , 244825 : { SELL 73606.82@0.00265663} 244824 : { SELL 73606.82@0.00265663} 244795 : { BUY 20739.64@0.00264602} 244794 : { BUY 20739.64@0.00264602} 
Sun Nov 30 19:14:17 EST 2014 , 4 , 2 , 2 , 244825 : { SELL 73606.82@0.00265663} 244824 : { SELL 73606.82@0.00265663} 244795 : { BUY 20739.64@0.00264602} 244794 : { BUY 20739.64@0.00264602} 
Sun Nov 30 19:17:18 EST 2014 , 4 , 2 , 2 , 244825 : { SELL 73606.82@0.00265663} 244824 : { SELL 73606.82@0.00265663} 244795 : { BUY 20739.64@0.00264602} 244794 : { BUY 20739.64@0.00264602} 
Sun Nov 30 19:20:19 EST 2014 , 4 , 2 , 2 , 244825 : { SELL 73606.82@0.00265663} 244824 : { SELL 73606.82@0.00265663} 244795 : { BUY 20739.64@0.00264602} 244794 : { BUY 20739.64@0.00264602} 
Sun Nov 30 19:23:20 EST 2014 , 4 , 2 , 2 , 244825 : { SELL 73606.82@0.00265663} 244824 : { SELL 73606.82@0.00265663} 244795 : { BUY 20739.64@0.00264602} 244794 : { BUY 20739.64@0.00264602} 
Sun Nov 30 19:29:22 EST 2014 , 4 , 2 , 2 , 245052 : { BUY 20651.06@0.00265737} 245051 : { BUY 20651.06@0.00265737} 245010 : { SELL 73606.82@0.00266802} 245009 : { SELL 73606.82@0.00266802} 
Sun Nov 30 19:35:24 EST 2014 , 4 , 2 , 2 , 245114 : { SELL 73606.82@0.00265754} 245113 : { SELL 73606.82@0.00265754} 245092 : { BUY 20732.51@0.00264693} 245091 : { BUY 20732.51@0.00264693} 
Sun Nov 30 19:41:26 EST 2014 , 4 , 2 , 2 , 245203 : { SELL 73606.82@0.00265262} 245202 : { SELL 73606.82@0.00265262} 245164 : { BUY 20770.96@0.00264203} 245163 : { BUY 20770.96@0.00264203} 
Sun Nov 30 19:44:27 EST 2014 , 4 , 2 , 2 , 245203 : { SELL 73606.82@0.00265262} 245202 : { SELL 73606.82@0.00265262} 245164 : { BUY 20770.96@0.00264203} 245163 : { BUY 20770.96@0.00264203} 
Sun Nov 30 19:47:28 EST 2014 , 4 , 2 , 2 , 245312 : { BUY 20679.15@0.00265376} 245310 : { BUY 20679.15@0.00265376} 245257 : { SELL 73606.82@0.0026644} 245256 : { SELL 73606.82@0.0026644} 
Sun Nov 30 19:50:29 EST 2014 , 4 , 2 , 2 , 245365 : { SELL 73606.82@0.00265142} 245363 : { SELL 73606.82@0.00265142} 245341 : { BUY 20780.32@0.00264084} 245340 : { BUY 20780.32@0.00264084} 
Sun Nov 30 19:53:30 EST 2014 , 4 , 2 , 2 , 245365 : { SELL 73606.82@0.00265142} 245363 : { SELL 73606.82@0.00265142} 245341 : { BUY 20780.32@0.00264084} 245340 : { BUY 20780.32@0.00264084} 
Sun Nov 30 20:02:33 EST 2014 , 4 , 2 , 2 , 245468 : { SELL 73606.82@0.00265178} 245467 : { SELL 73606.82@0.00265178} 245430 : { BUY 20777.57@0.00264119} 245429 : { BUY 20777.57@0.00264119} 
Sun Nov 30 20:05:34 EST 2014 , 4 , 2 , 2 , 245468 : { SELL 73606.82@0.00265178} 245467 : { SELL 73606.82@0.00265178} 245430 : { BUY 20777.57@0.00264119} 245429 : { BUY 20777.57@0.00264119} 
Sun Nov 30 20:08:35 EST 2014 , 4 , 2 , 2 , 245468 : { SELL 73606.82@0.00265178} 245467 : { SELL 73606.82@0.00265178} 245430 : { BUY 20777.57@0.00264119} 245429 : { BUY 20777.57@0.00264119} 
Sun Nov 30 20:20:39 EST 2014 , 4 , 2 , 2 , 245698 : { BUY 20651.68@0.00265729} 245697 : { BUY 20651.68@0.00265729} 245679 : { SELL 73606.82@0.00266794} 245678 : { SELL 73606.82@0.00266794} 
Sun Nov 30 20:23:40 EST 2014 , 4 , 2 , 2 , 245698 : { BUY 20651.68@0.00265729} 245697 : { BUY 20651.68@0.00265729} 245679 : { SELL 73606.82@0.00266794} 245678 : { SELL 73606.82@0.00266794} 
Sun Nov 30 20:26:41 EST 2014 , 4 , 2 , 2 , 245698 : { BUY 20651.68@0.00265729} 245697 : { BUY 20651.68@0.00265729} 245679 : { SELL 73606.82@0.00266794} 245678 : { SELL 73606.82@0.00266794} 
Sun Nov 30 20:29:42 EST 2014 , 4 , 2 , 2 , 245698 : { BUY 20651.68@0.00265729} 245697 : { BUY 20651.68@0.00265729} 245679 : { SELL 73606.82@0.00266794} 245678 : { SELL 73606.82@0.00266794} 
Sun Nov 30 20:38:45 EST 2014 , 4 , 2 , 2 , 245894 : { SELL 73606.82@0.00266334} 245893 : { SELL 73606.82@0.00266334} 245854 : { BUY 20687.41@0.0026527} 245853 : { BUY 20687.41@0.0026527} 
Sun Nov 30 20:41:46 EST 2014 , 4 , 2 , 2 , 245894 : { SELL 73606.82@0.00266334} 245893 : { SELL 73606.82@0.00266334} 245854 : { BUY 20687.41@0.0026527} 245853 : { BUY 20687.41@0.0026527} 
Sun Nov 30 20:44:47 EST 2014 , 4 , 2 , 2 , 246014 : { BUY 20860.61@0.0026527} 246013 : { BUY 20860.61@0.0026527} 246012 : { SELL 73433.97@0.00266334} 246011 : { SELL 73433.97@0.00266334} 
