timestamp,activeOrders, sells,buys, digest

Thu Nov 06 12:19:37 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 12:22:39 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 12:25:40 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 12:28:41 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 12:31:41 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 12:34:43 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 12:37:44 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 12:40:45 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 12:43:45 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 12:46:46 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 12:49:47 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 12:52:48 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 12:55:50 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 12:58:51 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 13:01:52 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 13:04:52 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 13:07:53 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 13:10:55 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 13:13:56 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 13:16:56 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 13:19:57 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 13:22:59 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 13:26:00 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 13:29:00 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 13:32:02 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 13:35:02 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 13:38:04 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
Thu Nov 06 13:41:04 EST 2014 , 4 , 2 , 2 , 130306 : { BUY 2843.78@0.80470892} 130305 : { BUY 2843.78@0.80470892} 130304 : { SELL 22059.81@0.8079342} 130303 : { SELL 22059.81@0.8079342} 
