timestamp,source,crypto,price,currency,sellprice,buyprice,otherfeeds

Fri Nov 21 11:37:03 EST 2014,btce,ppc,0.732,USD,1.37398634,1.35827596,{ feed : btce - price : 0.732}  { feed : coinmarketcap_ne - price : 0.734762}  { feed : coinmarketcap_no - price : 0.736518}  

Fri Nov 21 11:47:13 EST 2014,btce,ppc,0.74,USD,1.35913243,1.34359189,{ feed : btce - price : 0.74}  { feed : coinmarketcap_ne - price : 0.733412}  { feed : coinmarketcap_no - price : 0.733412}  

Fri Nov 21 11:50:16 EST 2014,btce,ppc,0.738,USD,1.36281572,1.34723306,{ feed : btce - price : 0.738}  { feed : coinmarketcap_ne - price : 0.738236}  { feed : coinmarketcap_no - price : 0.733412}  

Fri Nov 21 11:53:19 EST 2014,btce,ppc,0.742,USD,1.355469,1.33997035,{ feed : btce - price : 0.742}  { feed : coinmarketcap_ne - price : 0.738236}  { feed : coinmarketcap_no - price : 0.733412}  

Fri Nov 21 11:56:22 EST 2014,btce,ppc,0.745,USD,1.35001074,1.3345745,{ feed : btce - price : 0.745}  { feed : coinmarketcap_ne - price : 0.741047}  { feed : coinmarketcap_no - price : 0.738236}  

Fri Nov 21 11:59:25 EST 2014,btce,ppc,0.736,USD,1.36651902,1.35089402,{ feed : btce - price : 0.736}  { feed : coinmarketcap_ne - price : 0.741047}  { feed : coinmarketcap_no - price : 0.738236}  

Fri Nov 21 12:07:33 EST 2014,btce,ppc,0.74,USD,1.35913243,1.34359189,{ feed : btce - price : 0.74}  { feed : coinmarketcap_ne - price : 0.738041}  { feed : coinmarketcap_no - price : 0.737339}  

Fri Nov 21 12:22:48 EST 2014,btce,ppc,0.737,USD,1.36466486,1.34906106,{ feed : btce - price : 0.737}  { feed : coinmarketcap_ne - price : 0.73795}  { feed : coinmarketcap_no - price : 0.73795}  

Fri Nov 21 12:25:51 EST 2014,btce,ppc,0.732,USD,1.37398634,1.35827596,{ feed : btce - price : 0.732}  { feed : coinmarketcap_ne - price : 0.736285}  { feed : coinmarketcap_no - price : 0.736285}  

Fri Nov 21 12:28:54 EST 2014,btce,ppc,0.735,USD,1.36837823,1.35273197,{ feed : btce - price : 0.735}  { feed : coinmarketcap_ne - price : 0.736285}  { feed : coinmarketcap_no - price : 0.736285}  

