timestamp,activeOrders, sells,buys, digest

Thu Nov 06 12:28:18 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 12:31:19 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 12:34:20 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 12:37:21 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 12:40:22 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 12:43:23 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 12:46:24 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 12:49:25 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 12:52:26 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 12:55:27 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
